Comedian,Punchline,Updated By
Vadivel,Aahaan?,Aravind
Vadivel,Naanga adi vangatha area-ve kedayathu,Aravind
Vadivel,Sothulayum adi vaangiyachu sethulayum adi vaangiyachu,Aravind
Vadivel,vaaya moodra korangu,Aravind
Vadivel,Why blood? same blood.,Aravind
Vadivel,Pesikittu iruken mama!,Aravind
Vadivel,Building strong-uh basement weak-uh,Aravind
Vadivel,"Feeling ah? enna, ena feeling-uh?",Aravind
Vadivel,Maapla? maapu? vechutan da aapu!,Aravind
Vadivel,Singgg in the rain.. I am sing in the rain,Aravind
Vadivel,Risk edukarthulaam enaku rusk sapdra mathri!,Aravind
Vadivel,Hello!Dubai ah? Ennudaiyya brother mark irukara?,Aravind
Vadivel,Vena valikuthu.. ALuthuruven!,Aravind
Vadivel,Enna Vechee Comedy Geemedy Pannalaye,Sanjana
Vadivel,Venam valikudhu aludhiduven,Sanjana
Vadivel,Vada Poche,Sanjana
Vadivel,Naa appidya shock ayiten,Aravind
Vadivel,Avana nee...,Rajarajeswari 
Vadivel,Vaa Suruthii polam...,Rajarajeswari 
Vadivel,Manda bathiram...,Rajarajeswari 
Vadivel,Naa apidiye shock aaiyten....,Rajarajeswari 
Vadivel,Anniyae pudunga vaenam..,Rajarajeswari 
Vadivel,Babu... Snake babu....,Rajarajeswari 
Vadivel,"Athu pona maasam , naan sonnathu intha maasam.",Rajarajeswari 
Vadivel,Indha rangalathalayum unakku oru kilukiluppu kekkudhuu...,Rajarajeswari 
Vadivel,"Naan jailuku poren, jailuku poren.. naanum rowdy thaan...",Rajarajeswari 
Vadivel,Ennama anga Satham ! Pesikittu iruken mama ...,Rajarajeswari 
Vadivel,Oh ithu Thaan azhagula mayangaratha …?,Rajarajeswari 
Vadivel,Be Careful…….. enna sonnen...,Rajarajeswari 
Vadivel,Vita kirukan aaikurvanga pola iruku! :,Rajarajeswari 
Vadivel,Dei solamutha pocha,Rajarajeswari 
Vadivel,"aahaa! onnu kooditangayya, onnu kooditangayya",Aravind
Santhanam,Venam Bro! Aduthavan autoku ayudha pooja pananum nenaikuradhu thappu bro,Aravind
Santhanam,Aduthavan patta potta edathula ivan kotta podanum pakuranae..,Aravind
Santhanam,Vera vela irrutha paaruya,Aravind
Santhanam,Vittukkodutha kattuppada mattanda indha vettupuli,Aravind
Santhanam,Urukkulla patthu padhinanji friends vechirukkavan ellam santhoshama irrukan,Aravind
Santhanam,Avlo periya comedy illa idhu,Aravind
Santhanam,Dei ennaku murder pandradhellam powder adikkara madhiri,Aravind
Santhanam,Na nalla panreno illayo nee nalla panrada,Aravind
Santhanam,Nanbenda,Aravind
Santhanam,Nee enna avlo periya appatakara ah nee,Aravind
Santhanam,Factuu...factuu..factuu,Aravind
